time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:54:46.971330916 UTC,Test160.java,14782808912203858207,Unsat,,0.018458608s,0.095400201s,86,12,2
2026-05-26 15:54:52.636432911 UTC,Test161.java,1636874038332274895,Unsat,,0.082001269s,0.405518967s,132,36,2
2026-05-26 15:54:58.855189553 UTC,Test162.java,3266478859737059924,Unsat,,0.024817645s,0.074202208s,49,12,2
2026-05-26 15:55:04.258600617 UTC,Test163.java,14652082532427479233,Unknown,timeout,45.863428288s,46.106355597s,175,62,23
2026-05-26 15:55:55.880560889 UTC,Test164.java,7300176830327439766,Unsat,,0.012198976s,0.068312451s,6,4,2
2026-05-26 15:56:01.704642133 UTC,Test165.java,16876653804131029825,Unsat,,0.01472562s,0.052527993s,34,4,2
2026-05-26 15:56:06.765585955 UTC,Test166.java,843046541126055216,Unsat,,0.026875682s,0.430082575s,165,36,2
2026-05-26 15:56:12.866209037 UTC,Test167.java,14548671233915290009,Unsat,,0.04222168s,0.169209791s,150,49,8
2026-05-26 15:56:18.452283568 UTC,Test168.java,2862786791151718428,Unsat,,0.032306214s,0.313639956s,123,28,2
2026-05-26 15:56:24.335654028 UTC,Test169.java,7565604265307801745,Unsat,,24.289650375s,24.923169594s,194,80,6
2026-05-26 15:56:55.041462938 UTC,Test170.java,3966943445482321650,Unsat,,0.019446921s,0.112444559s,89,20,2
2026-05-26 15:57:00.618983979 UTC,Test171.java,4831796839756340427,Unknown,timeout,45.787681824s,45.90716441s,117,24,6
2026-05-26 15:57:52.025980863 UTC,Test172.java,15120498487292085422,Unsat,,0.048573772s,0.464459199s,248,88,17
2026-05-26 15:57:57.901921361 UTC,Test173.java,10847844311994102537,Unsat,,0.022707928s,0.147156434s,89,40,9
2026-05-26 15:58:03.494544536 UTC,Test174.java,15195752590651743071,Unsat,,0.011372037s,0.031121366s,10,4,2
2026-05-26 15:58:08.53468888 UTC,Test175.java,5690440508935342265,Unsat,,0.019979172s,0.109198496s,77,24,4
2026-05-26 15:58:14.092704044 UTC,Test176.java,13841420569818802763,Unsat,,0.028889047s,0.17671568s,118,45,6
2026-05-26 15:58:20.044471031 UTC,Test177.java,18165311096026440045,Unsat,,0.017338983s,0.11086s,74,12,4
2026-05-26 15:58:25.612584361 UTC,Test178.java,10754587285366501929,Unsat,,0.019785515s,0.125900537s,90,21,3
2026-05-26 15:58:31.160203552 UTC,Test179.java,13832386034230510424,Unsat,,0.013327095s,0.040881849s,19,4,2
2026-05-26 15:58:36.327248686 UTC,Test180.java,10518133138195683649,Unsat,,0.013662808s,0.047415528s,22,4,2
2026-05-26 15:58:41.255930795 UTC,Test181.java,5471680098965495307,Unsat,,7.825613653s,7.897210274s,61,12,2
2026-05-26 15:58:53.994127126 UTC,Test182.java,600743822495767596,Unsat,,0.017087047s,0.111951108s,68,16,3
2026-05-26 15:58:59.380796437 UTC,Test183.java,2594237369051865388,Unsat,,0.019962765s,0.119025775s,81,28,2
2026-05-26 15:59:04.959081019 UTC,Test184.java,6878606017527492296,Unsat,,0.01132676s,0.033553229s,12,4,2
2026-05-26 15:59:10.06083615 UTC,Test185.java,15222598492576264339,Unsat,,0.011275341s,0.032711657s,4,4,2
2026-05-26 15:59:15.233500959 UTC,Test186.java,10700845853865202081,Unsat,,0.034137938s,0.227012101s,184,36,4
